2026-04-21 07:57:52,158 | INFO     | httpx | HTTP Request: POST https://api.telegram.org/bot7751227560:AAFovxVRR7dA1x7cqsJ3wsc4MPhttU4UeJU/getMe "HTTP/1.1 200 OK"
2026-04-21 07:57:52,158 | INFO     | httpx | HTTP Request: POST https://api.telegram.org/bot7751227560:AAFovxVRR7dA1x7cqsJ3wsc4MPhttU4UeJU/getMe "HTTP/1.1 200 OK"
2026-04-21 07:57:52,159 | INFO     | __main__ | Initialising database...
2026-04-21 07:57:52,159 | INFO     | __main__ | Initialising database...
2026-04-21 07:57:52,221 | INFO     | __main__ | Initialising OxaPay with key: YLFY1E...1CMB
2026-04-21 07:57:52,221 | INFO     | __main__ | Initialising OxaPay with key: YLFY1E...1CMB
2026-04-21 07:57:52,223 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-21 07:57:52,223 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-21 07:57:52,223 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-21 07:57:52,223 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-21 07:57:52,224 | INFO     | __main__ | Background jobs started via JobQueue
2026-04-21 07:57:52,224 | INFO     | __main__ | Background jobs started via JobQueue
2026-04-21 07:57:52,340 | INFO     | httpx | HTTP Request: POST https://api.telegram.org/bot7751227560:AAFovxVRR7dA1x7cqsJ3wsc4MPhttU4UeJU/deleteWebhook "HTTP/1.1 200 OK"
2026-04-21 07:57:52,340 | INFO     | httpx | HTTP Request: POST https://api.telegram.org/bot7751227560:AAFovxVRR7dA1x7cqsJ3wsc4MPhttU4UeJU/deleteWebhook "HTTP/1.1 200 OK"
2026-04-21 07:57:52,342 | INFO     | apscheduler.scheduler | Added job "sms_checker_job" to job store "default"
2026-04-21 07:57:52,342 | INFO     | apscheduler.scheduler | Added job "sms_checker_job" to job store "default"
2026-04-21 07:57:52,342 | INFO     | apscheduler.scheduler | Added job "payment_poller_job" to job store "default"
2026-04-21 07:57:52,342 | INFO     | apscheduler.scheduler | Added job "payment_poller_job" to job store "default"
2026-04-21 07:57:52,342 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-21 07:57:52,342 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-21 07:57:52,342 | INFO     | telegram.ext.Application | Application started
2026-04-21 07:57:52,342 | INFO     | telegram.ext.Application | Application started
2026-04-21 07:57:57,229 | INFO     | apscheduler.executors.default | Running job "sms_checker_job (trigger: interval[0:00:15], next run at: 2026-04-21 07:58:12 UTC)" (scheduled at 2026-04-21 07:57:57.222836+00:00)
2026-04-21 07:57:57,229 | INFO     | apscheduler.executors.default | Running job "sms_checker_job (trigger: interval[0:00:15], next run at: 2026-04-21 07:58:12 UTC)" (scheduled at 2026-04-21 07:57:57.222836+00:00)
2026-04-21 07:57:57,231 | INFO     | apscheduler.executors.default | Job "sms_checker_job (trigger: interval[0:00:15], next run at: 2026-04-21 07:58:12 UTC)" executed successfully
2026-04-21 07:57:57,231 | INFO     | apscheduler.executors.default | Job "sms_checker_job (trigger: interval[0:00:15], next run at: 2026-04-21 07:58:12 UTC)" executed successfully
2026-04-21 07:58:02,229 | INFO     | apscheduler.executors.default | Running job "payment_poller_job (trigger: interval[0:00:30], next run at: 2026-04-21 07:58:32 UTC)" (scheduled at 2026-04-21 07:58:02.223787+00:00)
2026-04-21 07:58:02,229 | INFO     | apscheduler.executors.default | Running job "payment_poller_job (trigger: interval[0:00:30], next run at: 2026-04-21 07:58:32 UTC)" (scheduled at 2026-04-21 07:58:02.223787+00:00)
2026-04-21 07:58:02,233 | INFO     | apscheduler.executors.default | Job "payment_poller_job (trigger: interval[0:00:30], next run at: 2026-04-21 07:58:32 UTC)" executed successfully
2026-04-21 07:58:02,233 | INFO     | apscheduler.executors.default | Job "payment_poller_job (trigger: interval[0:00:30], next run at: 2026-04-21 07:58:32 UTC)" executed successfully
2026-04-21 07:58:02,694 | INFO     | httpx | HTTP Request: POST https://api.telegram.org/bot7751227560:AAFovxVRR7dA1x7cqsJ3wsc4MPhttU4UeJU/getUpdates "HTTP/1.1 200 OK"
2026-04-21 07:58:02,694 | INFO     | httpx | HTTP Request: POST https://api.telegram.org/bot7751227560:AAFovxVRR7dA1x7cqsJ3wsc4MPhttU4UeJU/getUpdates "HTTP/1.1 200 OK"
2026-04-21 07:58:06,086 | INFO     | httpx | HTTP Request: POST https://api.telegram.org/bot7751227560:AAFovxVRR7dA1x7cqsJ3wsc4MPhttU4UeJU/getUpdates "HTTP/1.1 200 OK"
2026-04-21 07:58:06,086 | INFO     | httpx | HTTP Request: POST https://api.telegram.org/bot7751227560:AAFovxVRR7dA1x7cqsJ3wsc4MPhttU4UeJU/getUpdates "HTTP/1.1 200 OK"
2026-04-21 07:58:06,087 | INFO     | telegram.ext.Application | Application is stopping. This might take a moment.
2026-04-21 07:58:06,087 | INFO     | telegram.ext.Application | Application is stopping. This might take a moment.
2026-04-21 07:58:06,087 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-21 07:58:06,087 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-21 07:58:06,098 | INFO     | telegram.ext.Application | Application.stop() complete
2026-04-21 07:58:06,098 | INFO     | telegram.ext.Application | Application.stop() complete
